id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,红油抄手（小份）,3,90,7.08,3.53,7.12,1,0,5,
2,红油抄手（中份）,3,181,14.17,7.06,14.24,1,0,10,
3,红油抄手（大份）,3,271.5,21.255,10.59,21.36,1,0,15,
4,家常水饺（小份）,3,100,3.46,3.25,13.75,0,0,2.5,
5,家常水饺（中份）,3,200,6.93,6.51,27.51,0,0,5,
6,家常水饺（大份）,3,300,10.395,9.765,41.265,0,0,7.5,
7,鸡汤馄饨面,3,175,12.72,6,17.04,0,0,10,
8,炸酱面,3,268,10.35,11.39,30.92,0,0,10,
9,香辣肥肠面,3,275,11.84,15.49,22.56,1,0,16,
10,红烧排骨面,3,392,9.2,8,70,0,0,16,
11,猪肉臊子刀削面,3,316,8.23,11.57,43.54,0,0,12,
12,红烧牛肉刀削面,3,313,14.86,7.67,45.38,0,0,16,
13,鸡蛋西红柿刀削面,3,275,13.35,8.19,36.46,0,1,8,
14,酱大排,1,415,30.39,31.68,0,0,0,12,
15,奥尔良烤鸡排,1,100,14.4,1.9,6.2,0,0,8,
16,淮安肉饼,0,230,12.5,7.25,27.17,0,0,4,
17,卤尖椒,2,18,0.9,0.09,4.26,1,1,1.5,
18,扒肉条,1,230,23.24,14.48,0,0,0,5,
19,卤鸡蛋,2,66,6.05,4.08,1.09,0,1,1,
20,宜宾燃面（中份）,3,259,8.37,8.04,38.35,0,1,10,
21,宜宾燃面（荤）,3,349,9.8,6.4,62.2,0,0,12,
22,黑椒地道肠,2,195,15.6,9.5,11.6,1,0,3,
23,原味地道肠,2,195,15.6,9.5,11.6,0,0,3,
24,芝士焗红薯,2,86,1.5,0.06,20.04,0,1,5,
25,雪梨银耳汤,2,61,2.07,0.18,15.41,0,1,1.5,
26,菜团子,2,86,4.1,0,17,0,1,4,
27,豆沙饼,2,184,5.15,0.5,39.42,0,1,1.5,
28,牛肉馅饼,0,209,9,4.9,31.7,0,0,3.5,
29,烧饼夹牛肉,0,245,8.96,3.04,49.69,0,0,6.5,
30,萝卜丝酥饼,0,51,1.44,2.95,6.14,0,1,2.5,
31,白皮山楂酥,2,95,0.44,0.38,25,0,1,2.5,
32,芝麻松饼,0,268,8.58,9.11,42.04,0,1,2,
33,花生排,2,484,7.57,18.98,71.24,0,1,3.5,
34,蛋黄酥,2,208,4.84,12.28,19.7,0,1,3.5,
35,红糖糍粑,2,312,6.56,8.6,52.34,0,1,4,
36,炸薯条,2,274,3.48,14.06,35.66,0,1,4,
37,炸鸡柳,2,293,16.42,17.74,16.86,0,0,4,
38,骨肉相连,2,136,20.54,5.42,0,0,0,5,
39,黑玉米,1,184,3.8,3.2,34.4,0,0,3,
40,煮玉米,1,108,3.32,1.28,25.11,0,0,1.5,
41,卤鸡爪,1,215,19.4,14.6,0.2,0,0,4,
42,酱猪肚,1,125,13.26,7.98,0,0,0,6.5,
43,酱猪肝,1,85,14.2,1.4,3.7,0,0,2.3,
44,酱牛肚,1,42.5,6.035,1.845,0,0,0,7.5,
45,酱猪心,1,59,8.635,2.18,0.65,0,0,5,
46,酱猪口条,1,112.5,8.15,8.6,0,0,0,5,
47,酱猪耳朵,1,83,8,5.4,0.1,0,0,7,
48,酱牛蹄筋,1,73,17.3,0.31,0,0,0,8,
49,酱肘子,1,139,12.8,9.15,1.4,0,0,4,
50,酱猪蹄,1,115,10,8,0,0,0,3,
51,酱牛肉,1,111.5,15,5,1,0,0,6,
52,卤肥肠,1,75,3.34,6,2.11,0,0,8,
53,白灼虾,1,122,23.45,2,1.05,0,0,10,
54,红肠,1,283,12.7,23.7,3.95,0,0,4,
55,蒸铁棍山药,0,56,1.9,0.2,12.4,0,1,5,
56,贝贝南瓜,0,90,2.07,0.12,20.7,0,1,4,
57,鸡胸肉,1,164,30.76,3.54,0,0,0,6,
58,五香鹌鹑蛋,1,165,10.7,11.8,4.1,0,1,5,
59,虾仁蒸蛋羹,1,66,5.99,3.56,1.82,0,1,5,
60,木须肉,1,114,9.18,5.82,6.24,0,0,5,
61,酱泼豆腐,1,172,10,10,7,0,1,4,
62,肉丝炒蒜苗,1,135,13,7.27,4.84,0,0,5,
63,黄焖鸡,1,300,30,18,6,0,0,8,
64,鱼香肉丝,1,300,28.23,14.6,13.26,1,0,5,
65,小煎鸡,1,187,33.44,4.71,0.51,0,0,8,
66,豉汁蒸鲷鱼,1,115,20.8,3.01,0,0,0,8,
67,鹌鹑蛋烧肉,1,431,7.31,40.31,4.3,0,0,8,
68,豇豆肉丝,1,144,11.68,7.69,8.17,1,0,6,
69,重庆辣子鸡,1,387,36.56,22.18,9.39,1,0,8,
70,小炒肉,1,400,40.9,23,13.75,1,0,8,
71,回锅肉,1,415,7.11,41.15,4.61,0,0,8,
72,肉片烧茄子,1,170,8.87,12.9,5,0,0,5,
73,干锅土豆片,1,125,1.77,15.23,6.99,0,1,5,
74,桃仁酱爆鸡丁,1,268,28.97,30.6,11.37,0,0,8,
75,韩式年糕炖排骨,1,254,10.66,6.64,10.66,0,0,10,
76,水煮肉片,1,339,15.9,26.43,10.72,1,0,10,
77,葱爆羊肉,1,217,15.34,14.37,6.12,0,0,10,
78,椒盐虾,1,154,16.64,7.29,4.25,0,0,10,
79,蒜苗炒河虾,1,138,26.5,2.26,1.19,0,0,10,
80,玉米虾仁,1,98,20.12,1.3,3.64,0,0,10,
81,奥尔良烤鸡腿,1,138,21.6,3.8,4.1,0,0,10,
82,红烧带鱼,1,279,28.24,13.57,10.02,0,0,10,
83,家常炒河粉,1,175,5.05,6.37,23.76,0,0,10,
84,剁椒蒸鱼块,1,190,13,8.3,16,1,0,10,
85,菠萝咕咾肉,1,143,15,5.66,6.43,0,0,10,
86,番茄土豆牛肉,1,152,15.37,6.53,8.25,0,0,10,
87,红烧排骨,1,480,31,39,7.2,0,0,12,
88,炒圆白菜,1,24,1.44,0.12,5.58,0,1,1,
89,熬冬瓜,1,13,0.4,0.2,3,0,1,1,
90,炒土豆丝,1,112,1.6,6.3,13.71,0,1,1,
91,炒豆芽,1,63,3.18,3.14,7,0,1,1,
92,麻婆豆腐,1,119,8.47,7.87,2.39,1,1,3,
93,菠菜炒鸡蛋,1,157,9.14,9.22,10.01,0,1,5,
94,蚝油生菜,1,37,1.03,2.36,3.66,0,1,4,
95,炒胡萝卜丝,1,54,1,2.31,8,0,1,1,
96,香椿炒鸡蛋,1,150,8.1,7.9,11.79,0,1,6,
97,鸡蛋西红柿,1,164,11.29,9.31,8.05,0,1,4,
98,芹菜炒香干,1,102,4,7.49,5.83,0,1,4,
99,鸡蛋炒蒜黄,1,147,8.34,9.1,9.85,0,1,6,
100,肉末酸菜粉,1,182,7.94,5.26,17.23,0,0,5,
101,馒头*1,0,109,3.67,0.76,0,0,1,0.35,
102,馒头*2,0,218,7.34,1.52,0,0,1,0.7,
103,馒头*3,0,327,11.01,2.28,0,0,1,1.05,
