id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,酸汤素什锦,1,105,5,4,0,0,1,10,1
2,骨汤丸子什锦,1,74,6.27,1.68,0,0,0,14,1
3,骨汤小酥肉,1,191,12.8,8.6,0,0,0,14,1
4,酸汤肉丸子,1,74,6.27,1.68,0,0,0,15,1
5,贵州酸汤去骨鸡腿,1,105,13.13,5.42,0,0,0,15,1
6,贵州酸汤鱼,3,229,27.24,6.66,0,0,0,16,1
7,贵州糟辣梅子肉,1,244,27.87,9.69,0,0,0,18,1
8,黄焖鸡米饭,3,502,42.2,23.42,0,0,0,15,1
9,安格斯肥牛饭,3,429,14.1,12.9,0,0,0,17,1
10,辣子鸡双拼饭,3,387,36.56,22.18,0,1,0,15,1
11,咖喱鸡肉饭,3,219,20.3,11.81,0,0,0,15,1
12,辣白菜五花肉拌饭,3,376,17,15.4,0,1,0,14,1
13,香辣豆腐饭,3,155,12.6,6.4,0,1,1,8,1
14,肉臊拌饭,3,322,14.3,9.5,0,0,0,10,1
15,红油素粉,3,297,7.42,8.16,0,1,1,8,1
16,酸豇豆肉沫拌粉,3,280,20,12,0,0,0,10,1
17,贵州肉沫臊子拌粉,3,352,25,15,0,0,0,12,1
18,毕节青椒小炒肉拌粉,3,347,22,13,0,1,0,14,1
19,贵阳辣子鸡拌粉,3,380,25,16,0,1,0,15,1
20,贵州羊杂米粉,3,365,24,16,0,0,0,12,1
21,贵州带皮羊肉米粉,3,430,32,17,0,0,0,18,1
22,秘制香辣土豆,1,133,1.98,4.91,0,1,1,4,1
23,红糖糍粑,2,367,9.84,12.9,1,0,1,4,1
24,南瓜汁,2,102,0,1.2,1,0,1,2,1
25,银耳枸杞红枣汤,2,93,3.07,0.54,1,0,1,3,1
26,椰奶香芋汁,2,92,5.5,7.22,1,0,1,4,1
