id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,香菇酱肉包*1,1,95,5.28,2.58,0,0,0,1.5,1
2,香菇酱肉包*2,1,190,10.56,5.16,0,0,0,3,1
3,香菇酱肉包*3,0,285,15.84,7.74,0,0,0,4.5,1
4,香菇酱肉包*4,0,380,21.12,10.32,0,0,0,6,1
5,川味火锅包*1,1,110,6,3.2,0,1,0,1.5,1
6,川味火锅包*2,1,220,12,6.4,0,1,0,3,1
7,川味火锅包*3,0,330,18,9.6,0,1,0,4.5,1
8,川味火锅包*4,0,440,24,12.8,0,1,0,6,1
9,酸豆角肉沫包*1,1,109,4.77,3.15,0,0,0,0.6,1
10,酸豆角肉沫包*2,1,218,9.54,6.3,0,0,0,1.2,1
11,酸豆角肉沫包*3,0,327,14.31,9.45,0,0,0,1.8,1
12,酸豆角肉沫包*4,0,436,19.08,12.6,0,0,0,2.4,1
13,生煎包*1,1,70,2.49,3.19,0,0,0,0.7,1
14,生煎包*2,1,140,4.98,6.38,0,0,0,1.4,1
15,生煎包*3,0,210,7.47,9.57,0,0,0,2.1,1
16,生煎包*4,0,280,9.96,12.76,0,0,0,2.8,1
17,胡萝卜木耳包*1,1,82,1.3,2.66,0,0,1,0.7,1
18,胡萝卜木耳包*2,1,164,2.6,5.32,0,0,1,1.4,1
19,胡萝卜木耳包*3,0,246,3.9,7.98,0,0,1,2.1,1
20,胡萝卜木耳包*4,0,328,5.2,10.64,0,0,1,2.8,1
21,香芹猪肉包*1,1,134,2.4,4.1,0,0,0,0.8,1
22,香芹猪肉包*2,1,268,4.8,8.2,0,0,0,1.6,1
23,香芹猪肉包*3,0,402,7.2,12.3,0,0,0,2.4,1
24,香芹猪肉包*4,0,536,9.6,16.4,0,0,0,3.2,1
25,三丁包*1,1,100,4.18,0.88,0,0,0,0.6,1
26,三丁包*2,1,200,8.36,1.76,0,0,0,1.2,1
27,三丁包*3,0,300,12.54,2.64,0,0,0,1.8,1
28,三丁包*4,0,400,16.72,3.52,0,0,0,2.4,1
29,鲜肉包*1,1,140,6.8,3.82,0,0,0,0.6,1
30,鲜肉包*2,1,280,13.6,7.64,0,0,0,1.2,1
31,鲜肉包*3,0,420,20.4,11.46,0,0,0,1.8,1
32,鲜肉包*4,0,560,27.2,15.28,0,0,0,2.4,1
33,牛肉锅贴,1,231,13.65,8.97,0,0,0,5,1
34,黑胡椒烤肠,1,98,6.4,5.7,0,0,0,3,1
35,台式烤肠,1,148,6.54,12.59,0,0,0,1.5,1
36,炸鸡腿,1,119,13.6,6.79,0,0,0,6,1
37,咸鸭蛋,2,114,7.53,7.49,0,0,0,1.8,1
38,卤鸡蛋,2,66,6.05,4.08,0,0,0,1,1
39,豆干,2,77,7.37,4.65,0,0,1,0.8,1
40,榨菜,2,13,0.71,0.07,0,0,1,0.7,1
41,椰奶,2,127.5,1.5,5.75,1,0,1,3,1
42,紫薯山药,2,268,12.9,7.6,1,0,1,3,1
43,小米山药粥,0,116,3.37,1.29,0,0,1,3,1
44,丸子汤,2,74,6.27,1.68,0,0,0,3.5,1
45,皮蛋瘦肉粥,0,130,5.67,3.08,0,0,0,1.5,1
46,豆浆,2,80,6.54,3.1,0,0,1,2,1
