id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,口水鸡,1,370,35,20.82,0,1,0,8,1
2,杭椒牛柳,1,306,26.36,16.84,0,1,0,10,1
3,孜然烤鸡腿,1,146,18.22,7.52,0,1,0,7,1
4,宫保鸡丁,1,434,38.97,30.8,0,1,0,10,1
5,蒜末烧茄子,1,71,1.15,3.49,0,0,1,5,1
6,素炒土豆丝,1,112,1.6,6.3,0,0,1,4,1
7,耗油鲜蘑鸡片,1,226,24.53,12.77,0,0,0,8,1
8,京酱鸡丝,1,335,31.66,16.81,0,0,0,8,1
9,香辣鸭块,1,354,22.8,11.1,0,1,0,10,1
10,葱爆羊肉,1,217,15.34,14.37,0,0,0,14,1
11,清炒时蔬,1,50,1.38,0.22,0,0,1,4,1
12,姜母鸭,1,366,21.28,30.45,0,0,0,9,1
13,干锅千页豆腐,1,217.5,15.15,13.25,0,1,0,8,1
14,豆豉爆香鸡,1,230.7,34.68,6.4,0,0,0,9,1
15,尖椒鸡蛋,1,124.5,9.24,7.96,0,1,1,6,1
16,干煸鱼块,1,321,48.2,2,0,1,0,10,1
17,椒麻鸡拌面,3,457,31.38,19.5,0,1,0,12,1
18,大饼*1,0,273,7.35,3.64,0,0,1,1,1
19,大饼*2,0,546,14.7,7.28,0,0,1,2,1
20,大饼*3,0,819,22.05,10.92,0,0,1,3,1
21,小油条*1,0,292,8.6,5.5,0,0,1,0.4,1
22,小油条*2,0,584,17.2,11,0,0,1,0.8,1
23,小油条*3,0,876,25.8,16.5,0,0,1,1.2,1
24,发面饼*1,0,268,8.34,3.17,0,0,1,2,1
25,发面饼*2,0,526,16.68,6.34,0,0,1,4,1
26,发面饼*3,0,784,25.02,9.51,0,0,1,6,1
27,甜玉米*1,1,77,2.9,1.06,0,0,1,1.5,1
28,甜玉米*2,0,154,5.8,2.12,0,0,1,3,1
29,馒头*1,0,109,3.67,0.76,0,0,1,0.35,1
30,馒头*2,0,218,7.34,1.52,0,0,1,0.7,1
31,馒头*3,0,327,11.01,2.28,0,0,1,1.05,1
32,椰奶包*1,2,144,5.4,1.2,0,0,1,2,1
33,椰奶包*2,2,288,10.8,2.4,1,0,1,4,1
34,燕麦酸奶包*1,2,146,4.54,1.19,0,0,1,2,1
35,燕麦酸奶包*2,2,269,8.4,4.4,1,0,1,4,1
36,烤包子*1,1,177,6.4,8,0,0,0,5,1
37,烤包子*2,0,354,12.8,16,0,0,0,10,1
38,烤包子*3,3,531,19.2,24,0,0,0,15,1
39,香煎牛肉饼*1,1,361,19.21,22.53,0,0,0,3.5,1
40,香煎牛肉饼*2,0,722,38.42,45.1,0,0,0,7,1
41,贝贝蛋挞*1,2,225,3.8,13.46,0,0,0,3.5,1
42,贝贝蛋挞*2,2,450,7.6,26.92,1,0,0,7,1
43,糖火烧*1,1,373,9.13,14.98,0,0,1,2.5,1
44,糖火烧*2,0,746,18.26,29.96,1,0,1,5,1
45,芝麻烧饼*1,1,268,8.58,9.11,0,0,1,1.8,1
46,芝麻烧饼*2,0,536,17.16,18.22,0,0,1,3.6,1
47,牛肉水煎包*1,1,232,12.77,9.78,0,0,0,2.4,1
48,牛肉水煎包*2,0,464,25.57,19.56,0,0,0,4.8,1
49,韭菜水煎包*1,1,160,6.19,4.89,0,0,1,1.8,1
50,韭菜水煎包*2,0,320,12.38,9.78,0,0,1,3.6,1
51,奶香芋蓉蛋挞*1,2,225,3.8,13.46,0,0,1,4,1
52,奶香芋蓉蛋挞*2,2,450,7.6,26.92,1,0,1,8,1
53,豆沙蛋黄酥*1,2,208,4.81,12.28,0,0,1,4,1
54,豆沙蛋黄酥*2,2,416,9.62,24.56,1,0,1,8,1
55,椰蓉角*1,2,285.5,3.6,20.3,0,0,1,3,1
56,椰蓉角*2,2,571,7.2,40.6,1,0,1,6,1
57,土豆丝饼*1,0,251,11.44,6.33,0,0,1,3,1
58,土豆丝饼*2,0,502,22.88,12.66,0,0,1,6,1
