id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,时蔬涮菜,1,12.5,6.9,0.11,0,0,1,8,1
2,涮羊肉（小）,0,256,17.71,20.02,0,0,0,12,1
3,涮羊肉（大）,3,359,24.8,28.03,0,0,0,20,1
4,涮肥牛（小）,0,204,14.38,11.53,0,0,0,12,1
5,涮肥牛（大）,3,407,28.76,23.06,0,0,0,20,1
6,绿豆粥,2,156,4.59,0.68,0,0,1,0.5,1
7,冷面,0,251,8.8,2.79,0,0,1,12,1
8,肥肠粉（小）,3,107,1.74,0.42,0,1,0,12,1
9,肥肠粉（白汤）,3,171,2.78,0.67,0,0,0,15,1
10,肥肠粉（麻辣）,3,171,2.78,0.67,0,1,0,15,1
11,酸辣粉,0,168,3.53,6.2,0,1,1,8,1
12,热干面（小）,0,150,4.03,2.7,0,0,1,5,1
13,热干面（大）,3,240,6.45,4.32,0,0,1,7.5,1
14,襄阳牛肉面（小）,0,243.75,11.15,5.75,0,1,0,9,1
15,襄阳牛肉面（大）,3,313,14.86,7.67,0,1,0,12,1
16,炸酱面（小）,0,168,6.47,7.12,0,0,0,3,1
17,炸酱面（大）,3,268,10.35,11.39,0,0,0,4,1
18,香辣肉末菌菇面,3,314,7.2,15.4,0,1,0,8,1
19,炒胡萝卜丝,1,27,0.5,1.16,0,0,1,0.8,1
20,白菜炖豆腐,1,109,11.18,6.28,0,0,1,1.4,1
21,紫菜蛋花汤,1,72,5.06,2.96,0,0,1,1,1
22,芽菜肉末炒苦瓜,1,130,12.08,6.19,0,0,0,4,1
23,冬笋肉丝,1,128,13.83,8.41,0,0,0,4,1
24,溜肉段,1,103,16.43,3.66,0,0,0,6,1
25,蒜香蜜汁鸡腿,1,72,11.78,2.36,0,0,0,8,1
26,木耳炒快菜,1,19,0.86,1.04,0,0,1,2,1
27,鹌鹑蛋烧肉,1,155,19.34,8.05,0,0,0,6,1
28,滑蛋虾仁,1,141,12.42,8.68,0,0,0,6,1
29,杭椒肉片,1,169,7.95,13.21,0,0,0,6,1
30,豇豆肉丝,1,128,13.83,8.41,0,0,0,3.5,1
31,腊八蒜炒杏鲍菇,1,58,2.89,2.62,0,0,1,7,1
32,蒜香掌中宝,1,194,36.61,3.94,0,0,0,7,1
33,孜然羊棒骨,1,400,30,25,0,0,0,29,1
34,烟熏笋炒肉丝,1,128,13.83,8.41,0,0,0,6,1
35,肉片炒菜花,1,166,15,9,0,0,0,3,1
36,泡椒鸡,1,165,20.6,8.8,0,1,0,6,1
37,蟹味烧豆腐,1,122,9.48,6.56,0,0,1,6,1
38,麻辣炖鱼块,1,126,14.58,6.1,0,1,0,6,1
39,清炒荷兰豆,1,11,0.96,0.1,0,0,1,5,1
40,夏威夷风光披萨,0,250,10.6,11.5,0,0,0,7,1
41,肉香满溢披萨,0,265,10.64,12.14,0,0,0,8,1
42,肉松披萨,0,255,10.7,10.3,0,0,0,8,1
43,超级至尊披萨,0,259,10.7,12.5,0,0,0,8,1
44,什锦水果披萨,0,248,10.74,8.96,0,0,0,6,1
45,地道肠,2,229,11,13,0,0,0,3,1
46,豆沙黄米糕,2,170,3.3,0.6,1,0,1,4,1
47,荠菜春笋炒饭,0,225,15.45,8.36,0,0,1,5,1
48,香辣牛筋面,3,324,6.4,17.4,0,1,0,6,1
49,肉丝炒面,3,237,9.77,13.84,0,0,0,5,1
50,樟茶鸭卷饼,3,455,39.37,13.92,0,0,0,9,1
51,猪头肉五福卷饼,3,455,39.37,13.92,0,0,0,9,1
52,黑椒猪柳五福卷饼,3,455,39.37,13.92,0,0,0,9,1
53,香煎五福卷饼,3,255,8.77,8.31,0,0,0,8,1
54,京酱肉丝卷饼,3,392,11.44,9.33,0,0,0,6,1
55,桂花芋头粥,2,180,3,2,1,0,1,2.5,1
56,红豆薏仁粥,2,158,6.87,0.48,0,0,1,2.5,1
57,香辣千张炒肉丝,1,182,14.11,7.3,0,1,0,7,1
58,燃香炒烤肉,1,185,16.37,12.31,0,0,0,10,1
59,豉香鸡片,1,256,19.26,17,0,0,0,4.5,1
60,菠萝咕咾肉,1,143,16.43,4.66,0,0,0,5,1
61,火腿炒双花,1,175,10,7.5,0,0,0,3,1
62,豉汁鱼片,1,120,12.5,5,0,0,0,6,1
63,豉汁排骨,1,315,25.39,26.68,0,0,0,5,1
64,木耳炒肉,1,134,15.07,6,0,0,0,4,1
65,山城辣子鸡,1,194,18.28,11.09,0,0,0,6,1
66,孜然烤鸡腿,1,72,11.78,2.36,0,1,0,8,1
67,妙脆鸡腿,1,72,11.78,2.36,0,0,0,6,1
68,上海炒年糕,0,280,6.97,2.91,0,0,1,4,1
69,椒麻小酥肉,1,336,13.16,27.06,0,0,0,5,1
70,酸辣土豆丝,1,108,1.93,5.21,0,1,1,2,1
71,地三鲜,1,76,1.8,3.99,0,0,1,3,1
