id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,红烧茄子,1,38,0.55,2.3,0,0,1,3,1
2,肉片大椒,1,101,5.75,5.3,0,0,0,5,1
3,木须肉,1,57,4.59,2.91,0,0,0,4,1
4,宫保鸡丁,1,217,14.5,15.3,0,1,0,4,1
5,三杯鸭腿,1,100,12.3,5.25,0,0,0,8,1
6,剁椒娃娃菜,1,5,0.53,0.07,0,1,1,4,1
7,鸡腿肉蒸土豆,1,36,5.89,1.18,0,1,0,5,1
8,小炒鸡块,1,83,7.45,2.55,0,1,0,6,1
9,五花肉炒烟笋,1,212,3.17,19.01,0,1,0,8,1
10,素炒胡萝卜丝,1,27,0.5,1.16,0,0,1,0.5,1
11,白灼虾,1,7,1.38,0.12,0,0,0,2,1
12,手撕包菜,1,18.5,0.69,0.88,0,0,1,2,1
13,蒸蛋羹,1,48,4.47,2.66,0,0,1,3,1
14,白菜豆腐汤,1,55,5.59,3.14,0,0,1,3,1
15,鸡毛菜炒豆丝,1,6,0.53,0.08,0,0,1,4,1
16,桂花芋头,2,40,1.1,0.23,1,0,1,4,1
17,丝瓜烧面筋,1,35,2,1,0,0,1,4.5,1
18,蒜香鸡片,1,80,8.75,2.5,0,0,0,6,1
19,豉油鳙鱼段,1,48,8.68,1.03,0,0,0,8,1
20,重庆小面,3,298,11.02,7.26,0,1,1,8,1
21,鸡汤豌杂面,3,330,15,7,0,0,0,11,1
22,红油豌杂面,3,312,12,9,0,1,0,12,1
23,香辣鸭腿面,3,373,20,12,0,1,0,13,1
24,山城担担面,3,623,21.55,26.22,0,1,0,14,1
25,鸡汤抄手面,3,330,17.74,7.89,0,0,0,11,1
26,红油抄手面,3,317,15.26,8.92,0,1,0,12,1
27,鸡汤抄手,3,275,12.11,6.4,0,0,0,10,1
28,香辣牛肉面,3,313,14.86,7.67,0,1,0,15,1
29,西红柿鸡蛋卤面,3,275,13.35,8.19,0,0,1,6,1
30,肉沫茄丁卤面（小）,0,294,16,15,0,0,0,8,1
31,肉沫茄丁卤面（大）,3,350,20,18,0,0,0,10,1
32,小炒肉拌面（小）,0,296,15,14,0,0,0,10,1
33,小炒肉拌面（大）,3,374,19,15,0,0,0,12,1
34,泡椒鸭拌面（小）,0,357,19,17,0,0,0,12,1
35,泡椒鸭拌面（大）,3,421,22,20,0,0,0,14,1
36,明炉盐焗鸡套餐,3,371,36.04,9.32,0,0,0,15,1
37,蒜香吊烧鸡腿饭,3,194,15.43,3.09,0,0,0,15,1
38,明炉隆江猪脚饭,3,331,21.85,15.98,0,0,0,17,1
39,玫瑰豉油鸡饭,3,392,31.8,15.4,0,0,0,15,1
40,港式烧鸭饭,3,307,12.06,17.25,0,0,0,15,1
41,港式叉烧肉饭,3,380,24,16.28,0,0,0,17,1
42,黄焖鸡米饭,3,502,42.2,23.42,0,0,0,15,1
43,日式乌冬面,3,364,11.28,0.95,0,0,1,8,1
44,咖喱乌冬面,3,286,10.2,6.2,0,0,1,12,1
45,泰式咖喱饭,3,408,25.91,11.19,0,0,1,7,1
46,咖喱鸡肉乌冬面,3,436,19.6,8.2,0,0,0,15,1
47,咖喱鳕鱼排饭,3,230,11.2,2.3,0,0,0,16,1
48,照烧鸡排饭,3,310,13.2,11,0,0,0,16,1
49,韩式泡菜肥牛饭,3,392,14.1,12.9,0,0,0,18,1
50,鳗鱼饭,3,425,27.62,17.79,0,0,0,25,1
51,芝士泡菜拉面,3,380,17.5,17.5,0,1,1,12,1
52,骨汤拉面,3,460,18.56,9.58,0,0,0,16,1
53,章鱼小丸子,2,158,7.6,6.8,0,0,0,4.9,1
54,日式炸鸡块,2,190,9.98,12.04,0,0,0,6,1
55,经典肉酱拌饭,3,370,18,12,0,0,0,15,1
56,泡菜肉片拌饭,3,350,24,16,0,0,0,15,1
57,红烧牛肉拌饭,3,372,16.2,44.1,0,0,0,18,1
